Code_ADN	RL2014	PBN2014	PBL2014	PBintL2014	SBN2014	SBL2014	SBintL2014	SPN2014
DT	13.47722222	7.166666667	10.11722222	2.222777778	5.5	2.161111111	1.106111111	53
DV	13.65333333	9.055555556	10.49722222	1.714444444	9.666666667	2.371666667	0.801666667	89.16666667
EA	18.58055556	11.11111111	12.88444444	1.852222222	15.94444444	2.440555556	1.162222222	118.5
EB	16.33777778	7.055555556	16.16555556	2.703333333	8.388888889	3.762222222	1.081111111	72.55555556
EC	20.79833333	10.77777778	15.04555556	2.173888889	14.22222222	3.285	0.903333333	115.2222222
ED	20.76	13.44444444	9.882222222	1.677777778	0.888888889	1.185555556	0.673333333	94.77777778
EE	23.72944444	12.72222222	13.62777778	2.045	12.44444444	2.576111111	1.422777778	115.1111111
EF	13.98888889	7.666666667	11.63222222	2.110555556	7.555555556	2.773888889	1.012777778	69.72222222
EG	16.33833333	9.055555556	13.02055556	2.041111111	10.38888889	2.755555556	0.913888889	92.55555556
EH	19.50333333	9.666666667	13.66111111	2.29	21.61111111	3.035555556	0.687222222	119.6111111
EI	14.17	8.666666667	12.59866667	1.864666667	10.26666667	3.068666667	0.858	85.73333333
EK	15.52222222	12.11111111	9.71	1.408888889	9.111111111	2.175555556	0.905555556	109.6666667
EL	21.92882353	11.35294118	13.65941176	2.138823529	17.05882353	2.641764706	0.848823529	125.5294118
EM	13.27111111	7.666666667	10.85444444	2.008888889	8.777777778	2.607777778	0.888888889	74.11111111
EN	12.61666667	8.833333333	10.94611111	1.617222222	14.27777778	2.802777778	0.641111111	96.94444444
EP	10.02176471	5.823529412	10.23941176	2.094117647	6.352941176	2.549411765	1.007647059	49.82352941
EQ	17.80583333	14.83333333	10.02333333	1.300833333	7.333333333	2.105833333	0.961666667	141.5833333
ER	10.19777778	6.555555556	7.637777778	1.865555556	3.444444444	2.313333333	1.094444444	44.88888889
ES	12.17111111	8.5	9.113333333	1.631111111	10.27777778	2.098888889	0.555555556	87.83333333
ET	14.40666667	8.944444444	11.51333333	1.85	13.44444444	2.656666667	0.868888889	98.55555556
EV	19.34722222	9.833333333	15.62333333	2.228333333	18.16666667	3.129444444	0.958333333	124.2222222
