Code_ADN	Og_acc	MOY1720_M1	MOY1720_M2	MOY1720_M3	MOY1720	MOY1720norm	MOY1720_M1norm	MOY1720_M2norm	MOY1720_M3norm
EA	110	-0.9517787901	-0.1621588494	-0.5850069584	-0.566314866	-0.565935559388626	-0.646144809516502	-0.399409150225221	-0.455279595341811
EI	187	0.1761244955	0.4715296943	0.349719271	0.3324578203	0.19054333133641	0.238462571889832	0.488283975852349	0.437336079798258
EN	185	0.0439622438	-0.5172275508	-0.2760322111	-0.2497658394	-0.356646601253707	0.0961360673319263	-0.134762039870312	-0.212732292693052
EP	181	0.6319109423	0.0538423797	0.1296916384	0.2718149868	0.125452637686367	0.787496818287429	0.416221452404587	0.187537120755073
EQ	234	0.1187356686	0.0754244287	-0.3054226529	-0.0370875185	-0.17804307846335	0.175665117812188	0.0742258143299463	-0.238341621145127
ER	506	0.1156134464	0.8245048015	0.2178978282	0.3860053587	0.249425714773872	0.172291998671286	0.553189046968333	0.285110162658988
ES	276	-0.3553608899	-0.1175376751	-0.3734989569	-0.2821325073	-0.381381459034138	-0.28070196478335	-0.164497566790754	-0.295720022250343
ET	410	-0.317364774	-0.0478956512	-0.2264668716	-0.1972424322	-0.315076585712612	-0.248604915577986	-0.0853110072840471	-0.168436118121391
EV	212	-0.5012890072	-0.3919769124	-0.1920638758	-0.3617765984	-0.439242490947222	-0.395694781807296	-0.235191632615262	-0.136892017170961
FA	489	0.2835192363	0.3819310136	0.6176431195	0.4276977898	0.296166309937637	0.359948481630631	0.604537261279973	0.769032389512473
FB	117	0.3540818118	-0.3247453515	0.4561302632	0.1618222412	0.0118571140026755	0.442501409641905	0.289532507352894	0.56559387893364
FC	168	0.4996546866	0.3713157607	0.5832358605	0.4847354359	0.361353246034712	0.619393070687979	0.675918077085316	0.724829779505664
FD	239	0.0666150347	-0.1080187038	0.1768436839	0.0451466716	-0.102054746605327	0.119951455746495	0.161017100182522	0.239259049609906
