Code_ADN	code_ITA_TOG_accession_number	Var	DFT2014a	DFT2014b	DFT2012a	DFT2012b	DIF2014	DIF2012
DT	5321	Og_8	111.5	79	109	68	32.5	41
DV	5674	Og_46	131.5	82.5	NaN	NaN	49	NaN
EA	7108	Og_110	100	91.5	103.5	74	8.5	29.5
EB	5747	Og_126	126.5	85.5	109.5	79	41	30.5
EC	7206	Og_150	126.5	96	116	82	30.5	34
ED	14367	Og_151	145	100	126	90	45	36
EE	7235	Og_160	134	92.5	112	76	41.5	36
EF	12086	Og_163	118.5	77	105	NaN	41.5	NaN
EG	12160	Og_164	120.5	81.5	108	72	39	36
EH	7291	Og_172	129.5	85	NaN	NaN	44.5	NaN
EI	8527	Og_187	139	94	122	87	45	35
EK	12387	Og_208	153.5	98	NaN	NaN	55.5	NaN
EL	7202	Og_411	133	90	117	79	43	38
EM	96726	Og_6	117.5	79	NaN	NaN	38.5	NaN
EN	7993	Og_185	128	83	NaN	NaN	45	NaN
EP	7451	Og_181	114.5	104.5	87	60	10	27
EQ	13708	Og_234	134	103	NaN	NaN	31	NaN
ER	12436	Og_506	111.5	78.5	NaN	NaN	33	NaN
ES	14606	Og_276	143.5	88	NaN	NaN	55.5	NaN
ET	7201	Og_410	103.5	87	NaN	NaN	16.5	NaN
EV	12399	Og_212	120.5	92	114	83	28.5	31
FA	NaN	Og_489	125	88	118.5	81	37	37.5
FB	5566	Og_117	103.5	88	81.5	56	15.5	25.5
FC	7273	Og_168	118.5	91.5	96	82	27	14
FD	14116	Og_239	123	94.5	NaN	NaN	28.5	NaN
FE	7406	Og_179	129.5	87	NaN	NaN	42.5	NaN
FF	5400	Og_112	120	91	96	80	29	16
FG	7456	Og_183	114.5	80.5	102.5	70	34	32.5
FH	7190	Og_400	131.5	84.5	NaN	NaN	47	NaN
FI	71677168	Og_487	136	86	NaN	NaN	50	NaN
FK	NaN	Og_496	145	98	70.5	NaN	47	NaN
FL	NaN	Og_122	94	88	NaN	NaN	6	NaN
FM	NaN	Og_206	136	92.5	123	80	43.5	43
FN	12188	Og_165	147.5	97	130	96	50.5	34
FP	7219	Og_159	134.5	86.5	114.5	78	48	36.5
FQ	5533	Og_116	119	94	92.5	73	25	19.5
FR	5997	Og_129	143	94	121	82	49	39
FS	NaN	Og_431	130.5	88	NaN	NaN	42.5	NaN
FT	7115	Og_114	149	100.5	NaN	NaN	48.5	NaN
FV	7194	Og_403	113.5	83	NaN	NaN	30.5	NaN
GA	14361	Og_256	151.5	107	NaN	NaN	44.5	NaN
GB	NaN	Og_430	120.5	83.5	107	79	37	28
GC	NaN	Og_438_2	149	93.5	NaN	NaN	55.5	NaN
GD	7193	Og_402	119.5	77	NaN	NaN	42.5	NaN
GE	12444	Og_154	123	83	121	79	40	42
GF	14364	Og_258	150.5	110.5	141	100	40	41
GH	71907191	Og_297	141.5	94	NaN	NaN	47.5	NaN
GI	14610	Og_280	121	85.5	NaN	NaN	35.5	NaN
GK	8537	Og_188	119.5	89.5	NaN	NaN	30	NaN
GL	5666	Og_43	122.5	79	NaN	NaN	43.5	NaN
GM	5464	Og_115	130	88	94	73	42	21
GN	14184	Og_243	109	75.5	95	62	33.5	33
GP	7214	Og_156	123	NaN	NaN	NaN	NaN	NaN
GQ	5390	Og_12	123	98	108.5	90	25	18.5
GR	7131	Og_121	134	88.5	116.5	74	45.5	42.5
GS	8049	Og_186	116	NaN	NaN	NaN	NaN	NaN
GT	7203	Og_412	145.5	95	123	83	50.5	40
GV	5286	Og_111	121.5	80	101.5	62	41.5	39.5
HA	5620	Og_41	133.5	87	NaN	NaN	46.5	NaN
HB	NaN	Og_426	136.5	91.5	120.5	87	45	33.5
HC	7274	Og_169	148	98.5	NaN	NaN	49.5	NaN
HD	9524	Og_191	121.5	92	NaN	NaN	29.5	NaN
HE	7106	Og_109	130.5	91.5	NaN	NaN	39	NaN
HF	8545	Og_190	134.5	91.5	NaN	NaN	43	NaN
HG	7195	Og_404	122	87.5	NaN	NaN	34.5	NaN
HH	7199	Og_408	130.5	83.5	NaN	NaN	47	NaN
HI	12401	Og_213	139	93	123	84	46	39
HK	5429	Og_17	124.5	99	NaN	NaN	25.5	NaN
HL	5885	Og_61	122.5	100	NaN	NaN	22.5	NaN
HM	71727173	Og_158	115.5	75	NaN	NaN	40.5	NaN
HN	7197	Og_407	112.5	85	NaN	NaN	27.5	NaN
HP	5919	Og_63	120.5	90.5	NaN	NaN	30	NaN
HQ	NaN	Og_478	109	75.5	NaN	NaN	33.5	NaN
HR	7455	Og_182	121	79.5	101	66	41.5	35
HS	7196	Og_405	106.5	97.5	97.5	NaN	9	NaN
HT	7554	Og_184	120	81	105	73	39	32
HV	7402	Og_178	133.5	86	NaN	NaN	47.5	NaN
IA	5439	Og_113	128.5	96.5	96	71	32	25
IB	14093	Og_238	111	83	94	62	28	32
IC	5775	Og_127	140	81	103.5	71	59	32.5
ID	5639	Og_119	100.5	85.5	84	NaN	15	NaN
IE	RAM77	Og_138	135.5	96	NaN	NaN	39.5	NaN
IF	RAM24	Og_135	136	109	NaN	NaN	27	NaN
IG	NaN	Og_488	136	93.5	112	85	42.5	27
IH	6211	Og_86	109.5	76	NaN	NaN	33.5	NaN
II	RAM131	Og_133	140.5	NaN	NaN	NaN	NaN	NaN
IK	NaN	Og_425	NaN	NaN	NaN	NaN	NaN	NaN
IL	12361	Og_418	105.5	84	99	73	21.5	26
IM	7266	Og_427	138.5	81	113.5	73	57.5	40.5
IN	6603	Og_100	103	92	94	82	11	12
IP	14373	Og_264	151.5	108	134	100	43.5	34
IQ	12388	Og_209	126.5	98.5	110	NaN	28	NaN
IR	RAM48	Og_136	119	134	NaN	NaN	NaN5	NaN
IS	NaN	Og_492	144	99	131.5	90	45	41.5
IT	7210	Og_415	136.5	98	129.5	90	38.5	39.5
IV	NaN	Og_475	132.5	119.5	96	73	13	23
KA	7300	Og_401	126.5	80	NaN	NaN	46.5	NaN
KB	RAM55	Og_137	144.5	106	129.5	100	38.5	29.5
KC	NaN	Og_423	134	109.5	130	100	24.5	30
KD	5923	Og_64	100	86	NaN	NaN	14	NaN
KE	5591	Og_118	131.5	93	95	74	38.5	21
KF	NaN	Og_495	110	82.5	NaN	NaN	27.5	NaN
KG	NaN	Og_505	109.5	76.5	NaN	NaN	33	NaN
KH	5314	Og_7	132	97	110	73	35	37
KI	5326	Og_10	139	93	126	84	46	42
KK	7211	Og_416	133	83	NaN	NaN	50	NaN
KL	5887	Og_62	118	92.5	NaN	NaN	25.5	NaN
KM	72737274	Og_429	125	79	NaN	NaN	46	NaN
KN	NaN	Og_491	144	100	124.5	87	44	37.5
KP	12411	Og_216	121.5	83	NaN	NaN	38.5	NaN
KQ	12249	Og_166	124	83.5	99.5	73	40.5	26.5
