Code_ADN	Og_acc	RYMV13_R1	RYMV17_R1	RYMV20_R1	AUDPC_R1	MOY1720_R1	RYMV13_R2	RYMV17_R2	RYMV20_R2	AUDPC_R2	MOY1720_R2	RYMV13_R3	RYMV17_R3	RYMV20_R3	AUDPC_R3	MOY1720_R3	RYMV13_R4	RYMV17_R4	RYMV20_R4	AUDPC_R4	MOY1720_R4	RYMV13_R5	RYMV17_R5	RYMV20_R5	AUDPC_R5	MOY1720_R5	RYMV13_R6	RYMV17_R6	RYMV20_R6	AUDPC_R6	MOY1720_R6	RYMV13_M1	RYMV17_M1	RYMV20_M1	AUDPC_M1	MOY1720_M1	RYMV13_M2	RYMV17_M2	RYMV20_M2	AUDPC_M2	MOY1720_M2	RYMV13_M3	RYMV17_M3	RYMV20_M3	AUDPC_M3	MOY1720_M3	RYMV13	RYMV17	RYMV20	AUDPC	MOY1720
EA	110	-1.0849612779	-0.9530636407	-0.8622662457	-6.7990446668	-0.9076649432	-1.1222207847	-0.9953626099	-0.9964226641	-7.2228447002	-0.995892637	-1.0838510709	-0.2201583052	0.2105256942	-2.6224676687	-0.0048163055	-0.9701610991	-0.1776216574	-0.4613811291	-3.2540696928	-0.3195013933	-0.7040653747	-0.042817053	-0.0356248981	-1.6114277821	-0.0392209756	-1.1366939479	-1.1265005487	-1.1350853339	-7.9187678171	-1.1307929413	-1.1035910313	-0.9742131253	-0.9293444549	-7.0109446835	-0.9517787901	-1.027006085	-0.1988899813	-0.1254277175	-2.9382686807	-0.1621588494	-0.9203796613	-0.5846588009	-0.585355116	-4.7650977996	-0.5850069584	-1.0169922592	-0.5859206358	-0.5467090961	-4.9047703879	-0.566314866
EI	187	0.9677562556	0.8749471406	0.3630567436	5.5424126187	0.6190019421	-0.5858093776	-0.179618121	-0.3538877813	-2.3311138507	-0.2667529512	0.1606560678	0.7908410897	-0.2521176457	2.711079481	0.269361722	0.3678889203	0.9165638864	0.4308314468	4.5899986132	0.6736976666	-0.1981233063	0.8475738911	0.4579455865	3.257180386	0.6527597388	-0.2302483778	0.3542362649	-0.2608786586	0.3880121837	0.0466788032	0.190973439	0.3476645098	0.0045844811	1.605649384	0.1761244955	0.2642724941	0.8537024881	0.0893569006	3.6505390471	0.4715296943	-0.2141858421	0.600905078	0.098533464	1.8225962848	0.349719271	0.0803533637	0.6007573586	0.0641582819	2.3595949053	0.3324578203
EN	185	0.509880348	0.450492987	0.1718624374	2.8542798066	0.3111777122	-0.169401017	-0.0045104105	-0.4419960387	-1.0175825288	-0.2232532246	0.0611754039	0.5285381774	-0.364225687	1.4258958982	0.0821562452	-1.122312817	-1.1751721628	-1.0580505307	-7.9448039999	-1.1166113468	-0.9575417438	-0.7107630801	-0.4502250057	-5.0780917765	-0.5804940429	-0.716271936	-0.0168480824	0.0737073238	-1.3809511747	0.0284296207	0.1702396655	0.2229912883	-0.1350668007	0.9183486389	0.0439622438	-0.5305687066	-0.3233169927	-0.7111381089	-3.2594540508	-0.5172275508	-0.8369068399	-0.3638055813	-0.188258841	-3.2295214756	-0.2760322111	-0.399078627	-0.1547104286	-0.3448212502	-1.8568756292	-0.2497658394
EP	181	1.4325397739	1.1014638211	0.6785273487	7.7379939447	0.8899955849	-0.8701828619	0.4231612472	0.3244913522	0.2274356697	0.3738262997	-0.6223818041	0.1258666705	0.030997154	-0.7577345305	0.0784319123	-0.8789026398	0.4866645919	-0.4281588975	-0.6967175542	0.0292528472	0.082368856	0.4696280374	0.2476375158	2.1798921166	0.3586327766	-0.6603375928	-0.1849913127	-0.0135076868	-1.9884063103	-0.0992494998	0.281178456	0.7623125342	0.5015093505	3.9827148072	0.6319109423	-0.750642222	0.3062656312	-0.1985808718	-0.7272260423	0.0538423797	-0.2889843684	0.1423183624	0.1170649145	0.0957429032	0.1296916384	-0.2528160448	0.4036321759	0.1399977977	1.1170772227	0.2718149868
EQ	234	1.1555287259	-0.0074860309	0.2187430881	2.6129709758	0.1056285286	-0.6445219414	0.1482284902	0.1154571268	-0.5970584769	0.1318428085	-0.9972328676	0.4350732997	0.2747691731	-0.0595554266	0.3549212364	-0.6546824766	0.2104464937	-0.6185912518	-1.500689103	-0.2040723791	-0.9714455109	-0.5885917555	-0.3857316557	-4.5815596496	-0.4871617056	0.1941518748	-0.0946005098	-0.1527666904	-0.1719480703	-0.1236836001	0.2555033923	0.0703712297	0.1671001075	1.0079562495	0.1187356686	-0.8259576721	0.3227598967	-0.1719110394	-0.7801222648	0.0754244287	-0.3886468181	-0.3415961327	-0.2692491731	-2.37675386	-0.3054226529	-0.319700366	0.0171783312	-0.0913533683	-0.7163066251	-0.0370875185
ER	506	-0.5292684626	-0.4553605577	-0.1565807044	-2.8871699338	-0.3059706311	0.9066247972	0.7058090518	0.3685859959	4.8364602696	0.5371975239	0.8872445918	1.0082182224	0.9346474909	6.7052241984	0.9714328567	-0.3178865324	0.7953492686	0.5598042241	2.9876557115	0.6775767464	0.8274880456	0.6776512258	0.2233722061	4.3618136907	0.450511716	-0.0062537794	0.0684986103	-0.0979307296	0.0803414829	-0.0147160597	0.1886781673	0.1252242471	0.1060026458	0.9746451679	0.1156134464	0.2846790297	0.9017837455	0.7472258575	4.8464399549	0.8245048015	0.4106171331	0.3730749181	0.0627207383	2.2210775868	0.2178978282	0.29465811	0.4666943035	0.3053164138	2.6807209032	0.3860053587
ES	276	-0.0687629198	-0.534860146	0.2208463871	-1.67826677	-0.1570068795	-0.8078136404	-0.460676926	-0.6467528745	-4.1981258336	-0.5537149003	1.0750231162	0.7576411921	0.7807478092	5.9729121186	0.7691945007	-1.1172628133	-1.0959292658	-0.912610436	-7.4391937109	-1.0042698509	-0.9799071638	-0.4561180411	-0.5876381895	-4.4376847557	-0.5218781153	-1.1166891452	-0.4312158205	-0.0190237765	-3.7711693269	-0.2251197985	-0.4382882801	-0.497768536	-0.2129532437	-2.9381963018	-0.3553608899	-0.0211198486	-0.1691440369	-0.0659313134	-0.7331407962	-0.1175376751	-1.0482981545	-0.4436669308	-0.303330983	-4.1044270413	-0.3734989569	-0.5025687611	-0.3701931679	-0.1940718467	-2.5919213797	-0.2821325073
ET	410	0.7659371123	0.1008938191	-0.1135781419	1.7146353786	-0.0063421614	-1.0802850119	-0.7343768354	-0.5223979376	-5.5144858541	-0.6283873865	-1.0828232959	-0.0492052396	0.1620268395	-2.0948246712	0.0564108	-1.109853122	-0.2769904168	-0.0274137878	-3.2302933845	-0.1522021023	-1.0110177711	-0.6433975833	-0.6303969044	-5.2195224404	-0.6368972439	0.5473893153	0.4054203128	-0.0374933115	2.4575097582	0.1839635007	-0.1571739498	-0.3167415082	-0.3179880398	-1.8999252378	-0.317364774	-1.096338209	-0.1630978282	0.0673065259	-2.6625590278	-0.0478956512	-0.2318142279	-0.1189886353	-0.333945108	-1.3810063411	-0.2264668716	-0.4951087956	-0.1996093239	-0.1948755406	-1.9811635356	-0.1972424322
EV	212	0.7023066454	0.4028609747	-0.4357105799	2.1610608324	-0.0164248026	-1.1134801762	-0.9536070912	-1.0186993322	-7.0926341699	-0.9861532117	-0.8011079766	-0.3682259229	-0.3159024029	-3.3648602877	-0.3420641629	-1.0968817198	-0.3424834628	-0.541295861	-4.2043993509	-0.4418896619	-1.0131568122	-0.0907721524	0.1189544012	-2.165584556	0.0140911244	-0.7966904881	-0.257095113	-0.5393426389	-3.3022278301	-0.398218876	-0.2055867654	-0.2753730583	-0.7272049561	-2.4657866688	-0.5012890072	-0.9489948482	-0.3553546929	-0.428599132	-3.7846298193	-0.3919769124	-0.9049236502	-0.1739336327	-0.2101941189	-2.733906193	-0.1920638758	-0.6865017546	-0.2682204613	-0.4553327356	-2.994774227	-0.3617765984
FA	489	0.0656343607	0.3336200081	0.4816042877	2.0213451813	0.4076121479	-0.73010259	0.3866905628	-0.0678379134	-0.2085450803	0.1594263247	0.803732116	0.6274412795	0.2419151294	4.1663814044	0.4346782045	-0.4839923523	0.3802527016	0.2781149437	0.7800721666	0.3291838227	0.4625328067	0.5458245426	0.7636289314	3.9808949096	0.654726737	0.576973358	0.8650104096	0.2961085944	4.6256460412	0.580559502	-0.3322341147	0.3601552855	0.2068831872	0.9064000505	0.2835192363	0.1598698819	0.5038469906	0.2600150366	2.4732267855	0.3819310136	0.5197530824	0.7054174761	0.5298687629	4.3032704754	0.6176431195	0.1157962832	0.5231399174	0.3322556622	2.5609657705	0.4276977898
FB	117	1.2759569063	0.7635162332	0.6400089666	6.1842340787	0.7017625999	0.4668221513	0.2425370732	-0.2297350257	1.4379215203	0.0064010238	-1.1150424775	-0.9085238956	-0.4248397686	-6.0471782425	-0.6666818321	-0.0204020149	0.2647844802	-0.230402222	0.5403383179	0.0171911291	-0.3958061133	0.3912851518	0.5555059998	1.4111448044	0.4733955758	0.3073359405	0.6229525164	0.2547773848	3.1771717656	0.4388649506	0.8713895288	0.5030266532	0.2051369705	3.8110777995	0.3540818118	-0.5677222462	-0.3218697077	-0.3276209953	-2.7534199623	-0.3247453515	-0.0442350864	0.5071188341	0.4051416923	2.294158285	0.4561302632	0.0864773987	0.2294252599	0.0942192225	1.1172720407	0.1618222412
FC	168	1.2322190643	0.7796831161	-0.1308618807	4.9970362139	0.3244106177	0.6600792703	0.8250245252	0.5247729857	4.9949038574	0.6748987555	-0.9409743051	0.4563389129	0.3295890689	0.2096211883	0.3929639909	-0.8584074807	0.191623619	0.507711442	-0.2845651319	0.3496675305	-0.0503340292	0.8092641549	0.227716082	3.0733306068	0.5184901185	-0.6260450365	0.6935436145	0.6024195906	2.0789419637	0.6479816026	0.9461491673	0.8023538207	0.1969555525	4.9959700356	0.4996546866	-0.8996908929	0.323981266	0.4186502555	-0.0374719718	0.3713157607	-0.3381895329	0.7514038847	0.4150678363	2.5761362852	0.5832358605	-0.0972437528	0.6259129904	0.3435578814	2.511544783	0.4847354359
FD	239	1.0542349063	0.3165362009	0.0262912366	3.2557833707	0.1714137188	-0.3309264769	0.1972456185	-0.2736129172	-0.3819126649	-0.0381836494	-0.4077018696	0.5789787595	0.6077644078	2.1226685308	0.5933715837	-1.103122803	-0.8683889472	-0.7504290354	-6.3712504743	-0.8094089913	0.0674690178	0.8359648801	0.2699415806	3.4657274869	0.5529532304	-0.7884888102	-0.3584910822	-0.0400406431	-2.8917573728	-0.1992658627	0.3616542147	0.2568909097	-0.1236608403	1.4369353529	0.0666150347	-0.7554123363	-0.1447050939	-0.0713323138	-2.1242909718	-0.1080187038	-0.3605098962	0.238736899	0.1149504688	0.2869850571	0.1768436839	-0.2514226726	0.1169742383	-0.0266808951	-0.1334568539	0.0451466716
FE	179	NaN	NaN	NaN	NaN	NaN	1.095153885	0.961103843	0.1311532992	5.7509011693	0.5461285711	0.4435216785	1.0240427188	0.4843714559	5.1977500567	0.7542070874	-1.1408033414	-1.2176066038	-1.0898872854	-8.1780607242	-1.1537469446	-1.0452528624	-0.0111611782	0.4049285793	-1.5221769796	0.1968837006	-0.3139289557	0.3787619545	0.2665863018	1.0976883821	0.3226741282	1.095153885	0.961103843	0.1311532992	5.7509011693	0.5461285711	-0.3486408315	-0.0967819425	-0.3027579148	-1.4901553338	-0.1997699286	-0.6795909091	0.1838003882	0.3357574406	-0.2122442988	0.2597789144	-0.1922619192	0.2270281469	0.0394304702	0.4692203809	0.1332293085
FF	112	-0.3632392913	-0.5633123003	-0.5423663049	-3.511621091	-0.5528393026	0.735773185	0.6669256966	-0.1932861649	3.5158570608	0.2368197659	0.5997592691	0.8110860162	0.2812115921	4.4601369831	0.5461488042	-1.0741964978	0.053912406	-0.1815551182	-2.2320322519	-0.0638213561	-0.2184711054	0.5616184242	0.4066717667	2.138729924	0.4841450955	-1.0040305194	0.4358587903	0.2795918674	-0.0631674717	0.3577253289	0.1862669469	0.0518066982	-0.3678262349	0.0021179849	-0.1580097684	-0.2372186144	0.4324992111	0.049828237	1.1140523656	0.241163724	-0.6112508124	0.4987386073	0.3431318171	1.0377812262	0.4209352122	-0.22073416	0.3276815055	0.0083779397	0.7179838589	0.1680297226
